"gene_id","connectivity","gene_name","is_nc","module","kTotal","kWithin","log2FC","pval","is_deg"
"ENSG00000235366",1,"LINC01055",TRUE,6,20.4228238301563,8.50831456178004,-1.2437797468591,1.46200472577983e-06,TRUE
"ENSG00000211943",0.109939618749838,"IGHV3-15",FALSE,6,54.6455772062872,43.0833171608242,-1.22282950594698,0.00170292892658349,TRUE
"ENSG00000211941",0.106309409887708,"IGHV3-11",FALSE,6,48.1984337128468,41.8599273716724,-0.971358057926314,0.00998830693077341,FALSE
"ENSG00000048462",0.104426340454187,"TNFRSF17",FALSE,6,57.7708215372614,41.8136973127188,-1.16034028623711,0.000443161802323616,TRUE
"ENSG00000241351",0.104338511963709,"IGKV3-11",FALSE,6,53.9881373258164,43.29428760055,-0.807448347651199,0.0251388516658306,FALSE
"ENSG00000211598",0.104176609008224,"IGKV4-1",FALSE,6,50.8233644204931,42.133867261577,-1.04181652076135,0.00335994622306835,TRUE
"ENSG00000211938",0.104152029381123,"IGHV3-7",FALSE,6,52.2587373071277,39.5091802899092,-1.12340726181731,0.00144940285439415,TRUE
"ENSG00000211597",0.101315446048567,"IGKJ1",FALSE,6,56.4432275105224,43.610284138474,-0.565665189146825,0.0624961595734588,FALSE
"ENSG00000211660",0.100448307702761,"IGLV2-23",FALSE,6,49.7913174452469,39.2535893867945,-1.19465004436885,0.000750221219807844,TRUE
"ENSG00000243238",0.0995517988645347,"IGKV2-30",FALSE,6,55.2186803296538,40.7360806808562,-1.32181250397201,0.00019170248439981,TRUE
"ENSG00000211673",0.0990035558555717,"IGLV3-1",FALSE,6,48.2251937903175,40.9054044754687,-0.656123117724107,0.0735916551153493,FALSE
"ENSG00000243466",0.095304293221826,"IGKV1-5",FALSE,6,43.964059902025,38.3088174217292,-0.899405451752356,0.0116749873207479,FALSE
"ENSG00000225698",0.0942775192972502,"IGHV3-72",FALSE,6,44.8002969619765,33.47050300087,-1.77902365003095,5.08527021409905e-06,TRUE
"ENSG00000211895",0.093235633209019,"IGHA1",FALSE,6,53.8197172720941,32.6843394107127,-2.23431841554571,5.80781131468816e-09,TRUE
"ENSG00000211666",0.0928909456397182,"IGLV2-14",FALSE,6,48.0770778400643,35.9336951275136,-1.03604601520753,0.00355908802895454,TRUE
"ENSG00000211949",0.0926133232899627,"IGHV3-23",FALSE,6,43.9848715696042,37.7929800734338,-0.773594230318114,0.0337448707717228,FALSE
"ENSG00000240382",0.0924913366904431,"IGKV1-17",FALSE,6,40.3028237534367,32.931289427287,-1.14602241082776,0.00164592616012124,TRUE
"ENSG00000253691",0.0921498816369262,"IGKV2OR22-4",FALSE,6,46.9997144879427,35.9280393931462,-1.15596980392889,0.000997893142881552,TRUE
"ENSG00000211651",0.0905871507263536,"IGLV1-44",FALSE,6,48.0517660027237,38.1156658219222,-0.73223428536758,0.0423187230980713,FALSE
"ENSG00000211952",0.0905669835438333,"IGHV4-28",FALSE,6,45.2410291187415,36.2375256288347,-0.596748235605195,0.0896234712647089,FALSE
"ENSG00000244575",0.0888951688079982,"IGKV1-27",FALSE,6,41.0052971726964,33.5385371215249,-1.23829017274156,0.00121058020921471,TRUE
"ENSG00000254395",0.088882181513988,"IGHV4-55",FALSE,6,45.02630752961,33.3853704711011,-0.818139567551881,0.00611706093241537,FALSE
"ENSG00000239975",0.0877545183717343,"IGKV1D-33",FALSE,6,46.5177614809803,32.9651772811677,-1.40770767064195,6.45568506511091e-05,TRUE
"ENSG00000278196",0.0874799216028671,"IGLV2-8",FALSE,6,44.3648330176123,31.2213947246504,-1.55858715940711,3.95338968793244e-06,TRUE
"ENSG00000224041",0.0866094693307857,"IGKV3D-15",FALSE,6,50.5848855045622,36.2478419971606,-0.814256380753508,0.0152876292665526,FALSE
"ENSG00000211670",0.0861787037022816,"IGLV3-9",FALSE,6,43.8889419482052,33.4009702850191,-0.911039750044128,0.0139869678817961,FALSE
"ENSG00000211957",0.0858010580293334,"IGHV3-35",FALSE,6,48.8224405598315,33.9685088416812,-0.940246719579192,0.00383469924382628,FALSE
"ENSG00000211967",0.0855208745367166,"IGHV3-53",FALSE,6,38.6988680910119,32.795443814067,-1.00618413216092,0.00532127384497752,TRUE
"ENSG00000242371",0.0853352464381424,"IGKV1-39",FALSE,6,46.3729695459206,34.2004038288002,-0.950822593388474,0.0169584714423705,FALSE
"ENSG00000242887",0.0826304952606452,"IGHJ3",FALSE,6,40.10390094127,32.0141144005018,-0.742951633813189,0.0345118352529171,FALSE
"ENSG00000253234",0.0823694166571201,"IGLV2-5",FALSE,6,55.3435104608278,31.1285097662715,-0.681631326805087,0.0174902820563006,FALSE
"ENSG00000239855",0.0800190533320266,"IGKV1-6",FALSE,6,45.8130103337066,31.6174111529155,-1.13196868941709,0.000793345158313558,TRUE
"ENSG00000271375",0.0798933874074997,"AC134879",FALSE,6,48.6765011307742,30.7647092316356,-0.858381785835864,0.00717517878918362,FALSE
"ENSG00000211648",0.0792208483180743,"IGLV1-47",FALSE,6,37.8425037556266,31.0144318191674,-0.631453871424551,0.0786025095483002,FALSE
"ENSG00000211637",0.0781661331218499,"IGLV4-69",FALSE,6,36.5640987327807,31.7381940858048,-1.21951316118911,0.001349089846038,TRUE
"ENSG00000249096",0.0779561147605526,"LINC02362",TRUE,6,57.8880817288862,32.3402677362953,-0.580913125290062,0.0279739615323789,FALSE
"ENSG00000241566",0.0773932695669248,"IGKV2D-24",FALSE,6,40.3436852372593,27.9495094562081,-1.15855691179984,0.000518318794308838,TRUE
